compressor_library,compressor_codec,compressor_version,compressor_flags,compression_speed,decompression_speed,original_size,compressed_size,compression_ratio,dataset
lzo,lzo1b,2.09,-1,2163.1,707.26,100000,402,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-2,2164.22,707.12,100000,402,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-3,1942.95,707.12,100000,402,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-4,2651.32,707.51,100000,401,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-5,2650.9,707.22,100000,401,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-6,2648.09,707.31,100000,401,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-7,2649.36,707.05,100000,401,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-8,2650.9,707.34,100000,401,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-9,2651.11,707.13,100000,401,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-99,1777.02,707.23,100000,401,0.4,artificial/aaa.txt
lzo,lzo1b,2.09,-999,185.49,698.14,100000,543,0.54,artificial/aaa.txt
lzo,lzo1c,2.09,-1,2341.76,737.21,100000,402,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-2,2093.85,707.93,100000,402,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-3,2344.5,707.94,100000,402,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-4,2926.97,707.73,100000,401,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-5,2926.63,708.03,100000,401,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-6,2926.46,707.82,100000,401,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-7,2617.12,707.79,100000,401,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-8,2926.72,707.93,100000,401,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-9,2926.46,707.78,100000,401,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-99,2427.6,707.8,100000,401,0.4,artificial/aaa.txt
lzo,lzo1c,2.09,-999,131.96,714.39,100000,683,0.68,artificial/aaa.txt
lzo,lzo1f,2.09,-1,2094.5,707.14,100000,402,0.4,artificial/aaa.txt
lzo,lzo1f,2.09,-999,147.5,697.81,100000,543,0.54,artificial/aaa.txt
lzo,lzo1x,2.09,-1,10071.51,1085.76,100000,471,0.47,artificial/aaa.txt
lzo,lzo1x,2.09,-11,12161.01,1083.65,100000,471,0.47,artificial/aaa.txt
lzo,lzo1x,2.09,-12,11820.33,1086.02,100000,471,0.47,artificial/aaa.txt
lzo,lzo1x,2.09,-15,11440.34,1085.43,100000,471,0.47,artificial/aaa.txt
lzo,lzo1x,2.09,-999,172.15,699.22,100000,543,0.54,artificial/aaa.txt
lzo,lzo1y,2.09,-1,10071.51,1082.24,100000,471,0.47,artificial/aaa.txt
lzo,lzo1y,2.09,-999,172.31,697.97,100000,543,0.54,artificial/aaa.txt
lzo,lzo1z,2.09,-999,171.21,708.66,100000,543,0.54,artificial/aaa.txt
lzo,lzo2a,2.09,-999,139.14,695.84,100000,505,0.5,artificial/aaa.txt
lzrw,lzrw,15-Jul-1991,-1,1255.26,1586.6,100000,13302,13.3,artificial/aaa.txt
lzrw,lzrw,15-Jul-1991,-2,1407.66,2454.17,100000,11820,11.82,artificial/aaa.txt
lzrw,lzrw,15-Jul-1991,-3,1271.76,2226.23,100000,11820,11.82,artificial/aaa.txt
lzrw,lzrw,15-Jul-1991,-4,1350.55,1730.1,100000,11820,11.82,artificial/aaa.txt
lzrw,lzrw,15-Jul-1991,-5,316.64,2153.32,100000,11820,11.82,artificial/aaa.txt
lzvn,lzvn,2017-03-08,,146.34,738.58,100000,752,0.75,artificial/aaa.txt
quicklz,quicklz,1.5.0,-1,1366.81,6138.74,100000,1248,1.25,artificial/aaa.txt
quicklz,quicklz,1.5.0,-2,508.73,5868.54,100000,1250,1.25,artificial/aaa.txt
quicklz,quicklz,1.5.0,-3,232.32,2034.51,100000,2074,2.07,artificial/aaa.txt
shrinker,shrinker,0.1,,10000,707.4,100000,410,0.41,artificial/aaa.txt
slz,slz_deflate,1.0.0,-1,6232.47,2675.01,100000,977,0.98,artificial/aaa.txt
slz,slz_deflate,1.0.0,-2,8868.39,2744.39,100000,974,0.97,artificial/aaa.txt
slz,slz_deflate,1.0.0,-3,8865.25,2743.94,100000,974,0.97,artificial/aaa.txt
slz,slz_gzip,1.0.0,-1,1699.06,1440.92,100000,983,0.98,artificial/aaa.txt
slz,slz_gzip,1.0.0,-2,1847.85,1460.47,100000,980,0.98,artificial/aaa.txt
slz,slz_gzip,1.0.0,-3,1847.34,1460.56,100000,980,0.98,artificial/aaa.txt
slz,slz_zlib,1.0.0,-1,1087.35,888.57,100000,995,1,artificial/aaa.txt
slz,slz_zlib,1.0.0,-2,1148.96,896.24,100000,992,0.99,artificial/aaa.txt
slz,slz_zlib,1.0.0,-3,1148.91,896.3,100000,992,0.99,artificial/aaa.txt
snappy,snappy,1.1.4,,11727.45,2616.98,100000,4696,4.7,artificial/aaa.txt
wflz,wflz,2015-09-16,,603.95,15133.17,100000,1573,1.57,artificial/aaa.txt
xpack,xpack,2016-06-02,-1,5207.25,735.62,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-2,5211.05,735.55,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-3,5211.05,735.54,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-4,5184.3,735.59,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-5,5188.61,735.57,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-6,5150.66,735.66,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-7,5175.72,735.63,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-8,5172.24,735.56,100000,23,0.02,artificial/aaa.txt
xpack,xpack,2016-06-02,-9,5156.5,735.63,100000,23,0.02,artificial/aaa.txt
xz,xz,5.2.3,-0,248.2,685.06,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-1,182.18,685.89,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-2,161.59,685.5,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-3,116.92,685.42,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-4,55.97,684.78,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-5,36.67,685.19,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-6,33.66,685.31,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-7,59.12,684.76,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-8,58.16,554.21,100000,103,0.1,artificial/aaa.txt
xz,xz,5.2.3,-9,58.13,554.98,100000,103,0.1,artificial/aaa.txt
zlib,zlib,1.2.11,-1,538.42,1425.01,100000,461,0.46,artificial/aaa.txt
zlib,zlib,1.2.11,-2,538.57,1425.09,100000,461,0.46,artificial/aaa.txt
zlib,zlib,1.2.11,-3,538.43,1425.11,100000,461,0.46,artificial/aaa.txt
zlib,zlib,1.2.11,-4,230.6,565.39,100000,121,0.12,artificial/aaa.txt
zlib,zlib,1.2.11,-5,230.57,565.52,100000,121,0.12,artificial/aaa.txt
zlib,zlib,1.2.11,-6,230.58,565.37,100000,121,0.12,artificial/aaa.txt
zlib,zlib,1.2.11,-7,230.54,565.31,100000,121,0.12,artificial/aaa.txt
zlib,zlib,1.2.11,-8,230.58,565.33,100000,121,0.12,artificial/aaa.txt
zlib,zlib,1.2.11,-9,229.36,565.24,100000,121,0.12,artificial/aaa.txt
zstd,zstd,1.3.4,-1,12517.21,5263.44,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-2,12520.35,5273.15,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-3,12581.78,5277.6,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-4,12559.66,5275.37,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-5,12550.2,5273.98,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-6,6704.21,5278.44,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-7,4690.65,5266.21,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-8,4689.11,5275.37,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-9,4686.91,5273.71,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-10,4693.73,5272.59,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-11,4686.26,5282.34,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-12,4687.57,5269.26,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-13,6679.58,5284.02,100000,22,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-14,587.3,5274.82,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-15,587.33,5280.95,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-16,587.3,5273.43,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-17,587.33,5279.55,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-18,587.29,5279.55,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-19,587.3,5269.81,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-20,587.32,5279.83,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-21,587.32,5277.88,100000,21,0.02,artificial/aaa.txt
zstd,zstd,1.3.4,-22,587.27,5278.72,100000,21,0.02,artificial/aaa.txt
zstd_fast,zstd_fast,1.3.4,--5,12528.19,5263.99,100000,22,0.02,artificial/aaa.txt
zstd_fast,zstd_fast,1.3.4,--4,12642.22,5280.39,100000,22,0.02,artificial/aaa.txt
zstd_fast,zstd_fast,1.3.4,--3,12536.04,5270.65,100000,22,0.02,artificial/aaa.txt
zstd_fast,zstd_fast,1.3.4,--2,12567.55,5262.05,100000,22,0.02,artificial/aaa.txt
zstd_fast,zstd_fast,1.3.4,--1,12567.55,5262.6,100000,22,0.02,artificial/aaa.txt
brotli,brotli,1.0.7,-0,5546.31,1115.41,100000,118,0.12,artificial/alphabet.txt
brotli,brotli,1.0.7,-1,4175.37,1119.21,100000,49,0.05,artificial/alphabet.txt
brotli,brotli,1.0.7,-2,972.05,1092.61,100000,49,0.05,artificial/alphabet.txt
brotli,brotli,1.0.7,-3,963.8,1123.77,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-4,1312.63,1123.7,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-5,1208.88,1124.18,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-6,1208.33,1123.63,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-7,1189.24,1123.75,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-8,1189.06,1123.55,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-9,768.11,1123.38,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-10,27.65,1123.6,100000,34,0.03,artificial/alphabet.txt
brotli,brotli,1.0.7,-11,23.07,1123.46,100000,34,0.03,artificial/alphabet.txt
crush,crush,1.0,-0,13.28,3326.02,100000,583,0.58,artificial/alphabet.txt
crush,crush,1.0,-1,13.27,3326.02,100000,583,0.58,artificial/alphabet.txt
crush,crush,1.0,-2,13.24,3326.02,100000,583,0.58,artificial/alphabet.txt
csc,csc,2016-10-13,-1,322.09,1945.15,100000,121,0.12,artificial/alphabet.txt
csc,csc,2016-10-13,-2,297.56,1946.32,100000,121,0.12,artificial/alphabet.txt
csc,csc,2016-10-13,-3,305.81,1945.18,100000,121,0.12,artificial/alphabet.txt
csc,csc,2016-10-13,-4,297.22,1944.47,100000,121,0.12,artificial/alphabet.txt
csc,csc,2016-10-13,-5,237.87,1945,100000,120,0.12,artificial/alphabet.txt
density,density,0.14.2,-1,1667.75,1953.43,100000,53162,53.16,artificial/alphabet.txt
density,density,0.14.2,-2,1787.85,1171.4,100000,6318,6.32,artificial/alphabet.txt
density,density,0.14.2,-3,663.05,493.54,100000,3190,3.19,artificial/alphabet.txt
fastlz,fastlz,0.1,-1,1779.3,3495.28,100000,1177,1.18,artificial/alphabet.txt
fastlz,fastlz,0.1,-2,1786.13,3579.35,100000,426,0.43,artificial/alphabet.txt
gipfeli,gipfeli,2016-07-13,,4594.11,3272.25,100000,4939,4.94,artificial/alphabet.txt
lz4,lz4,1.8.3,,13607.29,5692.49,100000,428,0.43,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-10,14058.77,10356.25,100000,454,0.45,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-20,13668.67,15427.34,100000,584,0.58,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-30,13636.98,15434.48,100000,584,0.58,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-40,13691.13,18457,100000,844,0.84,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-50,14092.45,10379.9,100000,454,0.45,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-60,13717.42,15427.34,100000,584,0.58,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-70,13691.13,18910.74,100000,1104,1.1,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-80,13702.38,18804.06,100000,1364,1.36,artificial/alphabet.txt
lz4fast,lz4fast,1.8.3,-90,13681.76,15432.1,100000,584,0.58,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-1,6818.96,5694.76,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-2,6824.08,5693.79,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-3,6835.27,5688.93,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-4,6821.28,5689.9,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-5,6840.88,5689.25,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-6,6817.1,5694.11,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-7,6824.08,5693.14,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-8,6807.82,5688.61,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-9,6821.75,5694.44,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-10,6782.88,5689.9,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-11,6795.79,5686.66,100000,428,0.43,artificial/alphabet.txt
lz4hc,lz4hc,1.8.3,-12,6784.72,5694.44,100000,428,0.43,artificial/alphabet.txt
lzf,lzf,3.6,-0,1156.02,11092.62,100000,9132,9.13,artificial/alphabet.txt
lzf,lzf,3.6,-1,1314.42,13931.46,100000,1168,1.17,artificial/alphabet.txt
lzfse,lzfse,2017-03-08,,119.43,4104.75,100000,260,0.26,artificial/alphabet.txt
lzg,lzg,1.0.8,-1,289.24,1920.97,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-2,288.87,1920.9,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-3,287.62,1920.9,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-4,285,1920.9,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-5,280.76,1920.93,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-6,274.02,1920.97,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-7,262.45,1920.57,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-8,242.55,1920.9,100000,2392,2.39,artificial/alphabet.txt
lzg,lzg,1.0.8,-9,204.42,1920.97,100000,2392,2.39,artificial/alphabet.txt
lzham,lzham,1.0,-d26,20.46,1822.22,100000,185,0.19,artificial/alphabet.txt
lzham,lzham,1.0,-d26,20.55,1822.76,100000,185,0.19,artificial/alphabet.txt
lzham,lzham,1.0,-d26,20.84,1821.43,100000,185,0.19,artificial/alphabet.txt
lzham,lzham,1.0,-d26,20.58,1825.15,100000,185,0.19,artificial/alphabet.txt
lzham,lzham,1.0,-d26,19.83,1823.35,100000,185,0.19,artificial/alphabet.txt
lzjb,lzjb,2010,,1879.13,1571.81,100000,3303,3.3,artificial/alphabet.txt
lzlib,lzlib,1.8,-0,150.54,248.78,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-1,56.03,248.89,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-2,54.41,248.89,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-3,51.64,248.89,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-4,46.17,248.88,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-5,38.95,248.92,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-6,29.61,248.88,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-7,18.15,248.93,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-8,11.62,248.91,100000,142,0.14,artificial/alphabet.txt
lzlib,lzlib,1.8,-9,6.42,248.91,100000,142,0.14,artificial/alphabet.txt
lzma,lzma,16.04,-0,202.56,2288.02,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-1,202.15,2283.68,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-2,198.49,2280.19,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-3,181.3,2279.88,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-4,117.81,2280.55,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-5,6.01,2280.09,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-6,3.27,2280.55,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-7,3.08,2280.81,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-8,3.09,2280.5,100000,116,0.12,artificial/alphabet.txt
lzma,lzma,16.04,-9,3.09,2279.93,100000,116,0.12,artificial/alphabet.txt
lzmat,lzmat,1.01,,1817.12,1054.16,100000,41,0.04,artificial/alphabet.txt
lzo,lzo1,2.09,-1,2124.54,16946.28,100000,1169,1.17,artificial/alphabet.txt
lzo,lzo1,2.09,-99,581.44,3555.43,100000,1164,1.16,artificial/alphabet.txt
lzo,lzo1a,2.09,-1,2421.6,15413.07,100000,1169,1.17,artificial/alphabet.txt
lzo,lzo1a,2.09,-99,581.46,3530.33,100000,1164,1.16,artificial/alphabet.txt
lzo,lzo1b,2.09,-1,2163.33,5493,100000,426,0.43,artificial/alphabet.txt
lzo,lzo1b,2.09,-2,2162.96,5493,100000,426,0.43,artificial/alphabet.txt
lzo,lzo1b,2.09,-3,1940.43,5493,100000,426,0.43,artificial/alphabet.txt
lzo,lzo1b,2.09,-4,2654.56,5618.92,100000,425,0.43,artificial/alphabet.txt
lzo,lzo1b,2.09,-5,2655.9,5625.88,100000,425,0.43,artificial/alphabet.txt
