Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
fastlz 0.1 -1,1780.69,1472.78,100000,1153,1.15,../web/corpus/artificial/aaa.txt
fastlz 0.1 -2,2803.63,27723.87,100000,402,0.40,../web/corpus/artificial/aaa.txt
gipfeli 2016-07-13,4651.81,2321.64,100000,4914,4.91,../web/corpus/artificial/aaa.txt
lz4 1.8.3,13196.09,5232.86,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -10,13229.26,5232.59,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -20,13166.56,5233.41,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -30,13201.32,5233.41,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -40,13178.70,5230.95,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -50,13227.51,5237.52,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -60,13185.65,5235.05,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -70,13215.28,5239.99,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -80,13171.76,5235.33,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4fast 1.8.3 -90,13448.09,5234.78,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -1,7227.52,5235.05,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -2,7080.65,5230.40,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -3,7088.18,5233.68,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -4,7092.70,5230.95,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -5,7237.98,5232.59,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -6,7176.18,5233.96,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -7,7138.78,5236.42,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -8,7221.78,5230.95,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -9,7095.72,5236.70,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -10,7085.67,5235.60,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -11,7204.61,5235.05,100000,403,0.40,../web/corpus/artificial/aaa.txt
lz4hc 1.8.3 -12,7260.06,5236.70,100000,403,0.40,../web/corpus/artificial/aaa.txt
lzf 3.6 -0,1386.14,738.69,100000,1143,1.14,../web/corpus/artificial/aaa.txt
lzf 3.6 -1,1314.28,738.71,100000,1143,1.14,../web/corpus/artificial/aaa.txt
lzfse 2017-03-08,119.49,708.28,100000,204,0.20,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -1,270.58,716.59,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -2,270.16,716.30,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -3,269.52,716.29,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -4,267.30,715.94,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -5,263.18,716.20,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -6,257.47,715.92,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -7,246.67,716.64,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -8,229.05,716.33,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzg 1.0.8 -9,199.41,716.99,100000,1587,1.59,../web/corpus/artificial/aaa.txt
lzham 1.0 -d26 -0,16.90,3426.65,100000,156,0.16,../web/corpus/artificial/aaa.txt
lzham 1.0 -d26 -1,18.31,3428.18,100000,156,0.16,../web/corpus/artificial/aaa.txt
lzham 1.0 -d26 -2,18.22,3426.65,100000,156,0.16,../web/corpus/artificial/aaa.txt
lzham 1.0 -d26 -3,18.37,3428.30,100000,156,0.16,../web/corpus/artificial/aaa.txt
lzham 1.0 -d26 -4,17.70,3445.78,100000,156,0.16,../web/corpus/artificial/aaa.txt
lzjb 2010,1881.11,1570.48,100000,3231,3.23,../web/corpus/artificial/aaa.txt
lzlib 1.8 -0,120.51,249.34,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -1,52.64,249.52,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -2,51.15,249.48,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -3,48.63,249.49,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -4,43.89,249.47,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -5,37.46,249.50,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -6,28.19,249.48,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -7,17.80,249.49,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -8,11.39,249.52,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzlib 1.8 -9,6.28,249.53,100000,116,0.12,../web/corpus/artificial/aaa.txt
lzma 16.04 -0,203.75,670.13,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -1,203.59,669.75,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -2,200.18,669.26,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -3,183.38,669.23,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -4,118.05,669.25,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -5,6.14,669.28,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -6,3.22,669.36,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -7,3.05,669.31,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -8,3.05,669.27,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzma 16.04 -9,3.05,669.23,100000,89,0.09,../web/corpus/artificial/aaa.txt
lzmat 1.01,1823.02,738.56,100000,11,0.01,../web/corpus/artificial/aaa.txt
lzo1 2.09 -1,2124.13,15133.17,100000,1144,1.14,../web/corpus/artificial/aaa.txt
lzo1 2.09 -99,593.50,691.14,100000,1139,1.14,../web/corpus/artificial/aaa.txt
lzo1a 2.09 -1,2319.92,12970.17,100000,1144,1.14,../web/corpus/artificial/aaa.txt
lzo1a 2.09 -99,548.60,738.68,100000,1139,1.14,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -1,2159.36,707.63,100000,402,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -2,1948.25,707.60,100000,402,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -3,2158.99,707.75,100000,402,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -4,2617.60,707.99,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -5,2575.93,707.95,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -6,2646.69,707.73,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -7,2630.54,707.95,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -8,2643.33,707.99,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -9,2394.46,707.95,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -99,1785.20,707.64,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1b 2.09 -999,183.30,708.35,100000,543,0.54,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -1,2342.47,707.02,100000,402,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -2,2340.50,707.45,100000,402,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -3,2340.82,707.13,100000,402,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -4,2616.84,706.53,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -5,2925.86,706.49,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -6,2926.63,706.99,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -7,2926.29,706.91,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -8,2616.50,706.10,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -9,2617.12,706.72,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -99,2426.01,713.34,100000,401,0.40,../web/corpus/artificial/aaa.txt
lzo1c 2.09 -999,133.99,720.07,100000,683,0.68,../web/corpus/artificial/aaa.txt
lzo1f 2.09 -1,2440.81,707.82,100000,402,0.40,../web/corpus/artificial/aaa.txt
lzo1f 2.09 -999,170.26,708.40,100000,543,0.54,../web/corpus/artificial/aaa.txt
lzo1x 2.09 -1,9999.00,1072.88,100000,471,0.47,../web/corpus/artificial/aaa.txt
lzo1x 2.09 -11,11967.45,1072.81,100000,471,0.47,../web/corpus/artificial/aaa.txt
lzo1x 2.09 -12,11562.03,1072.88,100000,471,0.47,../web/corpus/artificial/aaa.txt
lzo1x 2.09 -15,10948.11,1072.86,100000,471,0.47,../web/corpus/artificial/aaa.txt
lzo1x 2.09 -999,170.24,708.36,100000,543,0.54,../web/corpus/artificial/aaa.txt
lzo1y 2.09 -1,10000.00,1080.37,100000,471,0.47,../web/corpus/artificial/aaa.txt
lzo1y 2.09 -999,170.68,708.31,100000,543,0.54,../web/corpus/artificial/aaa.txt
lzo1z 2.09 -999,169.88,707.15,100000,543,0.54,../web/corpus/artificial/aaa.txt
lzo2a 2.09 -999,142.69,708.81,100000,505,0.50,../web/corpus/artificial/aaa.txt
lzrw 15-Jul-1991 -1,1255.00,1586.24,100000,13302,13.30,../web/corpus/artificial/aaa.txt
lzrw 15-Jul-1991 -2,1408.13,2455.49,100000,11820,11.82,../web/corpus/artificial/aaa.txt
lzrw 15-Jul-1991 -3,1272.82,2218.72,100000,11820,11.82,../web/corpus/artificial/aaa.txt
lzrw 15-Jul-1991 -4,1351.15,1730.16,100000,11820,11.82,../web/corpus/artificial/aaa.txt
lzrw 15-Jul-1991 -5,317.21,2156.43,100000,11820,11.82,../web/corpus/artificial/aaa.txt
lzvn 2017-03-08,146.40,738.59,100000,752,0.75,../web/corpus/artificial/aaa.txt
quicklz 1.5.0 -1,1371.65,5506.30,100000,1248,1.25,../web/corpus/artificial/aaa.txt
quicklz 1.5.0 -2,511.42,5836.69,100000,1250,1.25,../web/corpus/artificial/aaa.txt
quicklz 1.5.0 -3,232.93,2033.39,100000,2074,2.07,../web/corpus/artificial/aaa.txt
shrinker 0.1,10000.00,706.10,100000,410,0.41,../web/corpus/artificial/aaa.txt
slz_deflate 1.0.0 -1,6229.75,2572.28,100000,977,0.98,../web/corpus/artificial/aaa.txt
slz_deflate 1.0.0 -2,8823.79,2637.48,100000,974,0.97,../web/corpus/artificial/aaa.txt
slz_deflate 1.0.0 -3,8816.01,2637.48,100000,974,0.97,../web/corpus/artificial/aaa.txt
slz_gzip 1.0.0 -1,1698.66,1409.62,100000,983,0.98,../web/corpus/artificial/aaa.txt
slz_gzip 1.0.0 -2,1848.43,1427.74,100000,980,0.98,../web/corpus/artificial/aaa.txt
slz_gzip 1.0.0 -3,1848.12,1427.39,100000,980,0.98,../web/corpus/artificial/aaa.txt
slz_zlib 1.0.0 -1,1087.12,876.74,100000,995,1.00,../web/corpus/artificial/aaa.txt
slz_zlib 1.0.0 -2,1147.86,884.04,100000,992,0.99,../web/corpus/artificial/aaa.txt
slz_zlib 1.0.0 -3,1147.92,884.24,100000,992,0.99,../web/corpus/artificial/aaa.txt
snappy 1.1.4,11401.21,2601.32,100000,4696,4.70,../web/corpus/artificial/aaa.txt
wflz 2015-09-16,602.73,14744.91,100000,1573,1.57,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -1,5188.34,735.50,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -2,5309.26,735.49,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -3,5226.30,735.47,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -4,5187.26,735.51,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -5,5159.69,735.53,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -6,5203.46,735.46,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -7,5179.74,735.48,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -8,5173.04,735.52,100000,23,0.02,../web/corpus/artificial/aaa.txt
xpack 2016-06-02 -9,5190.76,735.52,100000,23,0.02,../web/corpus/artificial/aaa.txt
xz 5.2.3 -0,247.83,685.01,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -1,182.05,686.08,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -2,160.49,686.01,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -3,114.62,686.09,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -4,54.18,685.84,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -5,35.47,685.89,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -6,32.92,685.89,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -7,58.92,686.09,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -8,57.86,560.81,100000,103,0.10,../web/corpus/artificial/aaa.txt
xz 5.2.3 -9,57.95,560.03,100000,103,0.10,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -1,537.23,1407.74,100000,461,0.46,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -2,537.17,1407.66,100000,461,0.46,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -3,537.25,1407.97,100000,461,0.46,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -4,228.98,564.43,100000,121,0.12,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -5,227.72,564.43,100000,121,0.12,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -6,228.82,564.56,100000,121,0.12,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -7,230.20,564.41,100000,121,0.12,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -8,227.73,564.37,100000,121,0.12,../web/corpus/artificial/aaa.txt
zlib 1.2.11 -9,229.78,564.45,100000,121,0.12,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -1,12171.37,5265.65,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -2,11534.03,5265.93,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -3,10922.99,5257.90,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -4,11506.16,5255.69,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -5,11084.02,5263.16,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -6,6706.01,5261.50,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -7,4694.62,5265.93,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -8,4682.31,5262.60,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -9,4687.35,5261.22,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -10,4683.40,5267.87,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -11,4684.94,5255.41,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -12,4682.52,5268.70,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -13,6684.05,5262.33,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -14,587.11,5272.31,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -15,587.16,5275.93,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -16,587.14,5276.21,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -17,587.19,5277.04,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -18,587.13,5271.20,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -19,587.08,5265.65,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -20,587.16,5265.10,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -21,587.14,5275.37,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd 1.3.4 -22,587.14,5278.44,100000,21,0.02,../web/corpus/artificial/aaa.txt
zstd_fast 1.3.4 --5,11173.18,5264.54,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd_fast 1.3.4 --4,11212.02,5261.50,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd_fast 1.3.4 --3,11364.93,5272.59,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd_fast 1.3.4 --2,11359.76,5264.27,100000,22,0.02,../web/corpus/artificial/aaa.txt
zstd_fast 1.3.4 --1,11097.55,5265.10,100000,22,0.02,../web/corpus/artificial/aaa.txt
brotli 2017-12-12 -0,5640.79,1113.47,100000,118,0.12,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -1,4146.97,1116.74,100000,49,0.05,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -2,2563.91,1087.31,100000,76,0.08,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -3,2520.99,1117.03,100000,55,0.05,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -4,2089.34,1120.36,100000,39,0.04,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -5,1485.44,1115.11,100000,39,0.04,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -6,1481.48,1117.42,100000,39,0.04,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -7,1451.13,1117.41,100000,39,0.04,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -8,1458.53,1114.84,100000,39,0.04,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -9,786.19,1119.58,100000,34,0.03,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -10,27.37,1120.69,100000,34,0.03,../web/corpus/artificial/alphabet.txt
brotli 2017-12-12 -11,22.71,1119.11,100000,34,0.03,../web/corpus/artificial/alphabet.txt
crush 1.0 -0,12.66,3324.80,100000,583,0.58,../web/corpus/artificial/alphabet.txt
crush 1.0 -1,12.33,3325.35,100000,583,0.58,../web/corpus/artificial/alphabet.txt
crush 1.0 -2,11.81,3324.80,100000,583,0.58,../web/corpus/artificial/alphabet.txt
csc 2016-10-13 -1,333.54,1947.69,100000,121,0.12,../web/corpus/artificial/alphabet.txt
csc 2016-10-13 -2,307.90,1949.85,100000,121,0.12,../web/corpus/artificial/alphabet.txt
csc 2016-10-13 -3,316.74,1949.32,100000,121,0.12,../web/corpus/artificial/alphabet.txt
csc 2016-10-13 -4,307.44,1949.66,100000,121,0.12,../web/corpus/artificial/alphabet.txt
csc 2016-10-13 -5,242.89,1948.79,100000,120,0.12,../web/corpus/artificial/alphabet.txt
density 0.14.2 -1,1689.85,1942.88,100000,53162,53.16,../web/corpus/artificial/alphabet.txt
density 0.14.2 -2,1841.86,1171.81,100000,6318,6.32,../web/corpus/artificial/alphabet.txt
density 0.14.2 -3,664.08,495.23,100000,3190,3.19,../web/corpus/artificial/alphabet.txt
fastlz 0.1 -1,1779.20,3493.21,100000,1177,1.18,../web/corpus/artificial/alphabet.txt
fastlz 0.1 -2,1786.29,3578.33,100000,426,0.43,../web/corpus/artificial/alphabet.txt
gipfeli 2016-07-13,4541.94,3283.43,100000,4939,4.94,../web/corpus/artificial/alphabet.txt
lz4 1.8.3,12109.47,5695.08,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -10,12345.68,10000.00,100000,454,0.45,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -20,12199.58,13068.48,100000,584,0.58,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -30,12232.42,13915.95,100000,584,0.58,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -40,12122.68,17349.06,100000,844,0.84,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -50,12371.64,10000.00,100000,454,0.45,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -60,12106.54,13685.51,100000,584,0.58,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -70,12155.10,17289.07,100000,1104,1.10,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -80,12150.67,17349.06,100000,1364,1.36,../web/corpus/artificial/alphabet.txt
lz4fast 1.8.3 -90,12171.37,12782.82,100000,584,0.58,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -1,6931.93,5693.79,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -2,7018.53,5694.76,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -3,6973.50,5694.44,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -4,6986.66,5695.08,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -5,7033.34,5694.44,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -6,7020.01,5694.76,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -7,6927.13,5695.08,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -8,6871.91,5694.44,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -9,6953.14,5694.76,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -10,6919.94,5695.08,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -11,6945.41,5695.08,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lz4hc 1.8.3 -12,6965.24,5699.63,100000,428,0.43,../web/corpus/artificial/alphabet.txt
lzf 3.6 -0,1157.19,9999.00,100000,9132,9.13,../web/corpus/artificial/alphabet.txt
lzf 3.6 -1,1316.08,12955.05,100000,1168,1.17,../web/corpus/artificial/alphabet.txt
lzfse 2017-03-08,119.44,4090.15,100000,260,0.26,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -1,291.18,1920.75,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -2,290.85,1920.45,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -3,289.91,1920.75,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -4,287.41,1920.49,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -5,283.62,1920.71,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -6,276.67,1920.68,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -7,264.02,1920.34,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -8,243.82,1920.31,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzg 1.0.8 -9,204.74,1920.38,100000,2392,2.39,../web/corpus/artificial/alphabet.txt
lzham 1.0 -d26 -0,19.19,1810.81,100000,185,0.19,../web/corpus/artificial/alphabet.txt
lzham 1.0 -d26 -1,19.02,1813.73,100000,185,0.19,../web/corpus/artificial/alphabet.txt
lzham 1.0 -d26 -2,18.54,1813.70,100000,185,0.19,../web/corpus/artificial/alphabet.txt
lzham 1.0 -d26 -3,18.20,1812.35,100000,185,0.19,../web/corpus/artificial/alphabet.txt
lzham 1.0 -d26 -4,17.74,1812.97,100000,185,0.19,../web/corpus/artificial/alphabet.txt
lzjb 2010,1826.25,1572.50,100000,3303,3.30,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -0,150.53,249.19,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -1,56.06,249.31,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -2,52.97,249.32,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -3,50.78,249.29,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -4,45.82,249.25,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -5,38.50,249.30,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -6,28.85,249.34,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -7,18.26,249.38,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -8,11.44,249.38,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzlib 1.8 -9,6.01,249.37,100000,142,0.14,../web/corpus/artificial/alphabet.txt
lzma 16.04 -0,202.77,2292.84,100000,116,0.12,../web/corpus/artificial/alphabet.txt
lzma 16.04 -1,202.82,2287.70,100000,116,0.12,../web/corpus/artificial/alphabet.txt
